,State-County,"1st, 2nd, 3rd","votes1, votes2, votes3","pct1, pct2, pct3","party1, party2, party3"
36,Alabama - Jefferson,Bush / Kerry / Others,158680 / 132286 / 2001,54.2% / 45.2% / 0.7%,Republican / Democratic / Others
37,Alabama - Lamar,Bush / Kerry / Others,4894 / 1956 / 35,71.1% / 28.4% / 0.5%,Republican / Democratic / Others
38,Alabama - Lauderdale,Bush / Kerry / Others,22161 / 14628 / 318,59.7% / 39.4% / 0.9%,Republican / Democratic / Others
39,Alabama - Lawrence,Bush / Kerry / Others,7730 / 6155 / 116,55.2% / 44.0% / 0.8%,Republican / Democratic / Others
40,Alabama - Lee,Bush / Kerry / Others,27972 / 16227 / 411,62.7% / 36.4% / 0.9%,Republican / Democratic / Others
41,Alabama - Limestone,Bush / Kerry / Others,19702 / 9126 / 245,67.8% / 31.4% / 0.8%,Republican / Democratic / Others
42,Alabama - Lowndes,Kerry / Bush / Others,4233 / 1786 / 2,70.3% / 29.7% / 0.0%,Democratic / Republican / Others
43,Alabama - Macon,Kerry / Bush / Others,7800 / 1570 / 37,82.9% / 16.7% / 0.4%,Democratic / Republican / Others
44,Alabama - Madison,Bush / Kerry / Others,77173 / 52644 / 1245,58.9% / 40.2% / 0.9%,Republican / Democratic / Others
45,Alabama - Marengo,Bush / Kerry / Others,5255 / 5037 / 30,50.9% / 48.8% / 0.3%,Republican / Democratic / Others
46,Alabama - Marion,Bush / Kerry / Others,8983 / 3808 / 84,69.8% / 29.6% / 0.7%,Republican / Democratic / Others
47,Alabama - Marshall,Bush / Kerry / Others,22783 / 8452 / 256,72.3% / 26.8% / 0.8%,Republican / Democratic / Others
48,Alabama - Mobile,Bush / Kerry / Others,92014 / 63732 / 1025,58.7% / 40.7% / 0.7%,Republican / Democratic / Others
49,Alabama - Monroe,Bush / Kerry / Others,5831 / 3666 / 37,61.2% / 38.5% / 0.4%,Republican / Democratic / Others
50,Alabama - Montgomery,Kerry / Bush / Others,45160 / 44097 / 393,50.4% / 49.2% / 0.4%,Democratic / Republican / Others
51,Alabama - Morgan,Bush / Kerry / Others,32477 / 14131 / 399,69.1% / 30.1% / 0.8%,Republican / Democratic / Others
52,Alabama - Perry,Kerry / Bush / Others,3767 / 1738 / 18,68.2% / 31.5% / 0.3%,Democratic / Republican / Others
53,Alabama - Pickens,Bush / Kerry / Others,5170 / 3915 / 47,56.6% / 42.9% / 0.5%,Republican / Democratic / Others
54,Alabama - Pike,Bush / Kerry / Others,7483 / 4334 / 66,63.0% / 36.5% / 0.6%,Republican / Democratic / Others
55,Alabama - Randolph,Bush / Kerry / Others,6127 / 2817 / 57,68.1% / 31.3% / 0.6%,Republican / Democratic / Others
56,Alabama - Russell,Kerry / Bush / Others,8375 / 8337 / 97,49.8% / 49.6% / 0.6%,Democratic / Republican / Others
57,Alabama - St. Clair,Bush / Kerry / Others,23500 / 5456 / 205,80.6% / 18.7% / 0.7%,Republican / Democratic / Others
58,Alabama - Shelby,Bush / Kerry / Others,63435 / 14850 / 621,80.4% / 18.8% / 0.8%,Republican / Democratic / Others
59,Alabama - Sumter,Kerry / Bush / Others,4527 / 1880 / 26,70.4% / 29.2% / 0.4%,Democratic / Republican / Others
60,Alabama - Talladega,Bush / Kerry / Others,18331 / 11374 / 193,61.3% / 38.0% / 0.6%,Republican / Democratic / Others
61,Alabama - Tallapoosa,Bush / Kerry / Others,12392 / 5451 / 109,69.0% / 30.4% / 0.6%,Republican / Democratic / Others
62,Alabama - Tuscaloosa,Bush / Kerry / Others,42877 / 26447 / 506,61.4% / 37.9% / 0.7%,Republican / Democratic / Others
63,Alabama - Walker,Bush / Kerry / Others,19167 / 9016 / 184,67.6% / 31.8% / 0.6%,Republican / Democratic / Others
64,Alabama - Washington,Bush / Kerry / Others,5060 / 3145 / 42,61.4% / 38.1% / 0.5%,Republican / Democratic / Others
65,Alabama - Wilcox,Kerry / Bush / Others,3838 / 1834 / 10,67.5% / 32.3% / 0.2%,Democratic / Republican / Others
66,Alabama - Winston,Bush / Kerry / Others,8130 / 2236 / 57,78.0% / 21.5% / 0.5%,Republican / Democratic / Others
67,Arizona - Graham,Bush / Kerry / Others,7467 / 3185 / 68,69.7% / 29.7% / 0.6%,Republican / Democratic / Others
68,Arizona - Mohave,Bush / Kerry / Others,36794 / 20503 / 618,63.5% / 35.4% / 1.1%,Republican / Democratic / Others
69,Arizona - La Paz,Bush / Kerry / Others,3158 / 1849 / 52,62.4% / 36.5% / 1.0%,Republican / Democratic / Others
70,Arizona - Greenlee,Bush / Kerry / Others,1899 / 1146 / 22,61.9% / 37.4% / 0.7%,Republican / Democratic / Others
71,Arizona - Yavapai,Bush / Kerry / Others,53468 / 33127 / 988,61.0% / 37.8% / 1.1%,Republican / Democratic / Others
72,Arizona - Cochise,Bush / Kerry / Others,26556 / 17514 / 525,59.5% / 39.3% / 1.2%,Republican / Democratic / Others
73,Arizona - Gila,Bush / Kerry / Others,12343 / 8314 / 186,59.2% / 39.9% / 0.9%,Republican / Democratic / Others
74,Arizona - Yuma,Bush / Kerry / Others,22184 / 16032 / 313,57.6% / 41.6% / 0.8%,Republican / Democratic / Others
75,Arizona - Pinal,Bush / Kerry / Others,37006 / 27252 / 364,57.3% / 42.2% / 0.6%,Republican / Democratic / Others
76,Arizona - Maricopa,Bush / Kerry / Others,679455 / 504849 / 8447,57.0% / 42.3% / 0.7%,Republican / Democratic / Others
77,Arizona - Navajo,Bush / Kerry / Others,17277 / 14815 / 312,53.3% / 45.7% / 1.0%,Republican / Democratic / Others
78,Arizona - Pima,Kerry / Bush / Others,193128 / 171109 / 3255,52.6% / 46.6% / 0.9%,Democratic / Republican / Others
79,Arizona - Coconino,Kerry / Bush / Others,29243 / 22526 / 622,55.8% / 43.0% / 1.2%,Democratic / Republican / Others
80,Arizona - Santa Cruz,Kerry / Bush / Others,6909 / 4668 / 91,59.2% / 40.0% / 0.8%,Democratic / Republican / Others
81,Arizona - Apache,Kerry / Bush / Others,15658 / 8384 / 178,64.6% / 34.6% / 0.7%,Democratic / Republican / Others
82,Arkansas - Arkansas,Bush / Kerry / Others,3789 / 3110 / 47,54.5% / 44.8% / 0.7%,Republican / Democratic / Others
83,Arkansas - Ashley,Bush / Kerry / Others,4567 / 3881 / 64,53.7% / 45.6% / 0.8%,Republican / Democratic / Others
84,Arkansas - Baxter,Bush / Kerry / Others,11128 / 7129 / 273,60.1% / 38.5% / 1.5%,Republican / Democratic / Others
85,Arkansas - Benton,Bush / Kerry / Others,46571 / 20756 / 794,68.4% / 30.5% / 1.2%,Republican / Democratic / Others
86,Arkansas - Boone,Bush / Kerry / Others,9793 / 4640 / 344,66.3% / 31.4% / 2.3%,Republican / Democratic / Others
87,Arkansas - Bradley,Kerry / Bush / Others,2206 / 2011 / 32,51.9% / 47.3% / 0.8%,Democratic / Republican / Others
88,Arkansas - Calhoun,Bush / Kerry / Others,1340 / 939 / 20,58.3% / 40.8% / 0.9%,Republican / Democratic / Others
89,Arkansas - Carroll,Bush / Kerry / Others,6184 / 4161 / 136,59.0% / 39.7% / 1.3%,Republican / Democratic / Others
90,Arkansas - Chicot,Kerry / Bush / Others,2993 / 1725 / 39,62.9% / 36.3% / 0.8%,Democratic / Republican / Others
91,Arkansas - Clark,Kerry / Bush / Others,4990 / 4144 / 77,54.2% / 45.0% / 0.8%,Democratic / Republican / Others
92,Arkansas - Clay,Kerry / Bush / Others,3264 / 2759 / 73,53.5% / 45.3% / 1.2%,Democratic / Republican / Others
93,Arkansas - Cleburne,Bush / Kerry / Others,7107 / 4517 / 137,60.4% / 38.4% / 1.2%,Republican / Democratic / Others
94,Arkansas - Cleveland,Bush / Kerry / Others,2009 / 1450 / 37,57.5% / 41.5% / 1.1%,Republican / Democratic / Others
95,Arkansas - Columbia,Bush / Kerry / Others,5729 / 4108 / 72,57.8% / 41.5% / 0.7%,Republican / Democratic / Others
96,Arkansas - Conway,Bush / Kerry / Others,4009 / 3982 / 93,49.6% / 49.3% / 1.2%,Republican / Democratic / Others
97,Arkansas - Craighead,Bush / Kerry / Others,15818 / 13665 / 318,53.1% / 45.9% / 1.1%,Republican / Democratic / Others
98,Arkansas - Crawford,Bush / Kerry / Others,13391 / 6764 / 246,65.6% / 33.2% / 1.2%,Republican / Democratic / Others
99,Arkansas - Crittenden,Kerry / Bush / Others,8277 / 6930 / 93,54.1% / 45.3% / 0.6%,Democratic / Republican / Others
100,Arkansas - Cross,Bush / Kerry / Others,3864 / 3135 / 75,54.6% / 44.3% / 1.1%,Republican / Democratic / Others
101,Arkansas - Dallas,Bush / Kerry / Others,1700 / 1671 / 17,50.2% / 49.3% / 0.5%,Republican / Democratic / Others
102,Arkansas - Desha,Kerry / Bush / Others,2851 / 1729 / 67,61.4% / 37.2% / 1.4%,Democratic / Republican / Others
103,Arkansas - Drew,Bush / Kerry / Others,3262 / 2952 / 35,52.2% / 47.2% / 0.6%,Republican / Democratic / Others
104,Arkansas - Faulkner,Bush / Kerry / Others,21514 / 14538 / 634,58.6% / 39.6% / 1.7%,Republican / Democratic / Others
105,Arkansas - Franklin,Bush / Kerry / Others,4181 / 3008 / 100,57.4% / 41.3% / 1.4%,Republican / Democratic / Others
106,Arkansas - Fulton,Bush / Kerry / Others,2522 / 2370 / 63,50.9% / 47.8% / 1.3%,Republican / Democratic / Others
107,Arkansas - Garland,Bush / Kerry / Others,21734 / 18040 / 380,54.1% / 44.9% / 0.9%,Republican / Democratic / Others
108,Arkansas - Grant,Bush / Kerry / Others,4205 / 2524 / 41,62.1% / 37.3% / 0.6%,Republican / Democratic / Others
109,Arkansas - Greene,Bush / Kerry / Others,7237 / 6564 / 154,51.9% / 47.0% / 1.1%,Republican / Democratic / Others
110,Arkansas - Hempstead,Kerry / Bush / Others,3817 / 3580 / 55,51.2% / 48.0% / 0.7%,Democratic / Republican / Others
111,Arkansas - Hot Spring,Bush / Kerry / Others,5960 / 5901 / 204,49.4% / 48.9% / 1.7%,Republican / Democratic / Others
112,Arkansas - Howard,Bush / Kerry / Others,2736 / 2166 / 41,55.4% / 43.8% / 0.8%,Republican / Democratic / Others
113,Arkansas - Independence,Bush / Kerry / Others,7430 / 5443 / 138,57.1% / 41.8% / 1.1%,Republican / Democratic / Others
114,Arkansas - Izard,Bush / Kerry / Others,2833 / 2586 / 74,51.6% / 47.1% / 1.3%,Republican / Democratic / Others
115,Arkansas - Jackson,Kerry / Bush / Others,3515 / 2624 / 80,56.5% / 42.2% / 1.3%,Democratic / Republican / Others
116,Arkansas - Jefferson,Kerry / Bush / Others,19675 / 10218 / 600,64.5% / 33.5% / 2.0%,Democratic / Republican / Others
117,Arkansas - Johnson,Bush / Kerry / Others,4311 / 3622 / 111,53.6% / 45.0% / 1.4%,Republican / Democratic / Others
118,Arkansas - Lafayette,Bush / Kerry / Others,1604 / 1567 / 20,50.3% / 49.1% / 0.6%,Republican / Democratic / Others
119,Arkansas - Lawrence,Kerry / Bush / Others,3544 / 2951 / 120,53.6% / 44.6% / 1.8%,Democratic / Republican / Others
120,Arkansas - Lee,Kerry / Bush / Others,2548 / 1492 / 40,62.5% / 36.6% / 1.0%,Democratic / Republican / Others
121,Arkansas - Lincoln,Kerry / Bush / Others,2149 / 1921 / 39,52.3% / 46.8% / 0.9%,Democratic / Republican / Others
122,Arkansas - Little River,Kerry / Bush / Others,2677 / 2575 / 42,50.6% / 48.6% / 0.8%,Democratic / Republican / Others
123,Arkansas - Logan,Bush / Kerry / Others,5076 / 3361 / 114,59.4% / 39.3% / 1.3%,Republican / Democratic / Others
124,Arkansas - Lonoke,Bush / Kerry / Others,14398 / 7454 / 178,65.4% / 33.8% / 0.8%,Republican / Democratic / Others
125,Arkansas - Madison,Bush / Kerry / Others,3873 / 2421 / 90,60.7% / 37.9% / 1.4%,Republican / Democratic / Others
126,Arkansas - Marion,Bush / Kerry / Others,4127 / 2602 / 138,60.1% / 37.9% / 2.0%,Republican / Democratic / Others
127,Arkansas - Miller,Bush / Kerry / Others,8448 / 6139 / 91,57.6% / 41.8% / 0.6%,Republican / Democratic / Others
128,Arkansas - Mississippi,Kerry / Bush / Others,7593 / 6121 / 439,53.6% / 43.2% / 3.1%,Democratic / Republican / Others
129,Arkansas - Monroe,Kerry / Bush / Others,2049 / 1586 / 32,55.9% / 43.3% / 0.9%,Democratic / Republican / Others
130,Arkansas - Montgomery,Bush / Kerry / Others,2367 / 1524 / 67,59.8% / 38.5% / 1.7%,Republican / Democratic / Others
131,Arkansas - Nevada,Bush / Kerry / Others,1752 / 1694 / 31,50.4% / 48.7% / 0.9%,Republican / Democratic / Others
132,Arkansas - Newton,Bush / Kerry / Others,2779 / 1506 / 93,63.5% / 34.4% / 2.1%,Republican / Democratic / Others
133,Arkansas - Ouachita,Bush / Kerry / Others,5345 / 5188 / 117,50.2% / 48.7% / 1.1%,Republican / Democratic / Others
134,Arkansas - Perry,Bush / Kerry / Others,2435 / 1921 / 75,55.0% / 43.4% / 1.7%,Republican / Democratic / Others
135,Arkansas - Phillips,Kerry / Bush / Others,5642 / 3161 / 65,63.6% / 35.6% / 0.7%,Democratic / Republican / Others
136,Arkansas - Pike,Bush / Kerry / Others,2013 / 1310 / 44,59.8% / 38.9% / 1.3%,Republican / Democratic / Others
137,Arkansas - Poinsett,Kerry / Bush / Others,4069 / 3555 / 99,52.7% / 46.0% / 1.3%,Democratic / Republican / Others
138,Arkansas - Polk,Bush / Kerry / Others,5192 / 2473 / 134,66.6% / 31.7% / 1.7%,Republican / Democratic / Others
139,Arkansas - Pope,Bush / Kerry / Others,13614 / 7100 / 188,65.1% / 34.0% / 0.9%,Republican / Democratic / Others
140,Arkansas - Prairie,Bush / Kerry / Others,2030 / 1562 / 32,56.0% / 43.1% / 0.9%,Republican / Democratic / Others
141,Arkansas - Pulaski,Kerry / Bush / Others,84532 / 67903 / 1185,55.0% / 44.2% / 0.8%,Democratic / Republican / Others
142,Arkansas - Randolph,Kerry / Bush / Others,3412 / 3158 / 97,51.2% / 47.4% / 1.5%,Democratic / Republican / Others
143,Arkansas - St. Francis,Kerry / Bush / Others,5684 / 3815 / 89,59.3% / 39.8% / 0.9%,Democratic / Republican / Others
144,Arkansas - Saline,Bush / Kerry / Others,24864 / 14153 / 359,63.1% / 35.9% / 0.9%,Republican / Democratic / Others
145,Arkansas - Scott,Bush / Kerry / Others,2514 / 1473 / 51,62.3% / 36.5% / 1.3%,Republican / Democratic / Others
146,Arkansas - Searcy,Bush / Kerry / Others,2565 / 1370 / 57,64.3% / 34.3% / 1.4%,Republican / Democratic / Others
147,Arkansas - Sebastian,Bush / Kerry / Others,27303 / 16479 / 429,61.8% / 37.3% / 1.0%,Republican / Democratic / Others
148,Arkansas - Sevier,Bush / Kerry / Others,2516 / 2035 / 50,54.7% / 44.2% / 1.1%,Republican / Democratic / Others
149,Arkansas - Sharp,Bush / Kerry / Others,4097 / 3265 / 108,54.8% / 43.7% / 1.4%,Republican / Democratic / Others
150,Arkansas - Stone,Bush / Kerry / Others,3188 / 2255 / 106,57.5% / 40.6% / 1.9%,Republican / Democratic / Others
151,Arkansas - Union,Bush / Kerry / Others,10502 / 7071 / 259,58.9% / 39.7% / 1.5%,Republican / Democratic / Others
152,Arkansas - Van Buren,Bush / Kerry / Others,3988 / 3310 / 76,54.1% / 44.9% / 1.0%,Republican / Democratic / Others
153,Arkansas - Washington,Bush / Kerry / Others,35726 / 27597 / 780,55.7% / 43.1% / 1.2%,Republican / Democratic / Others
154,Arkansas - White,Bush / Kerry / Others,17001 / 9129 / 295,64.3% / 34.5% / 1.1%,Republican / Democratic / Others
155,Arkansas - Woodruff,Kerry / Bush / Others,1972 / 1021 / 33,65.2% / 33.7% / 1.1%,Democratic / Republican / Others
156,Arkansas - Yell,Bush / Kerry / Others,3678 / 2913 / 68,55.2% / 43.7% / 1.0%,Republican / Democratic / Others
157,Colorado - Adams,Kerry / Bush / Others,69122 / 65912 / 1643,50.6% / 48.2% / 1.2%,Democratic / Republican / Others
158,Colorado - Alamosa,Bush / Kerry / Others,3179 / 3017 / 83,50.6% / 48.0% / 1.3%,Republican / Democratic / Others
159,Colorado - Arapahoe,Bush / Kerry / Others,119475 / 110262 / 2628,51.4% / 47.5% / 1.1%,Republican / Democratic / Others
160,Colorado - Archuleta,Bush / Kerry / Others,3601 / 2141 / 97,61.7% / 36.7% / 1.7%,Republican / Democratic / Others
161,Colorado - Baca,Bush / Kerry / Others,1680 / 483 / 23,76.9% / 22.1% / 1.1%,Republican / Democratic / Others
162,Colorado - Bent,Bush / Kerry / Others,1338 / 785 / 32,62.1% / 36.4% / 1.5%,Republican / Democratic / Others
163,Colorado - Boulder,Kerry / Bush / Others,105564 / 51586 / 2109,66.3% / 32.4% / 1.3%,Democratic / Republican / Others
164,Colorado - Broomfield,Bush / Kerry / Others,12007 / 10935 / 293,51.7% / 47.1% / 1.3%,Republican / Democratic / Others
165,Colorado - Chaffee,Bush / Kerry / Others,4875 / 3766 / 129,55.6% / 42.9% / 1.5%,Republican / Democratic / Others
166,Colorado - Cheyenne,Bush / Kerry / Others,923 / 198 / 13,81.4% / 17.5% / 1.1%,Republican / Democratic / Others
167,Colorado - Clear Creek,Kerry / Bush / Others,2989 / 2522 / 102,53.3% / 44.9% / 1.8%,Democratic / Republican / Others
168,Colorado - Conejos,Kerry / Bush / Others,1894 / 1864 / 45,49.8% / 49.0% / 1.2%,Democratic / Republican / Others
169,Colorado - Costilla,Kerry / Bush / Others,1170 / 566 / 24,66.5% / 32.2% / 1.4%,Democratic / Republican / Others
170,Colorado - Crowley,Bush / Kerry / Others,1006 / 478 / 9,67.4% / 32.0% / 0.6%,Republican / Democratic / Others
171,Colorado - Custer,Bush / Kerry / Others,1657 / 739 / 32,68.2% / 30.4% / 1.3%,Republican / Democratic / Others
172,Colorado - Delta,Bush / Kerry / Others,9722 / 4224 / 213,68.7% / 29.8% / 1.5%,Republican / Democratic / Others
173,Colorado - Denver,Kerry / Bush / Others,166135 / 69903 / 2788,69.6% / 29.3% / 1.2%,Democratic / Republican / Others
174,Colorado - Dolores,Bush / Kerry / Others,785 / 333 / 28,68.5% / 29.1% / 2.4%,Republican / Democratic / Others
175,Colorado - Douglas,Bush / Kerry / Others,80651 / 39661 / 889,66.5% / 32.7% / 0.7%,Republican / Democratic / Others
176,Colorado - Eagle,Kerry / Bush / Others,9744 / 8533 / 234,52.6% / 46.1% / 1.3%,Democratic / Republican / Others
177,Colorado - El Paso,Bush / Kerry / Others,161361 / 77648 / 2779,66.7% / 32.1% / 1.1%,Republican / Democratic / Others
178,Colorado - Elbert,Bush / Kerry / Others,8389 / 2834 / 141,73.8% / 24.9% / 1.2%,Republican / Democratic / Others
179,Colorado - Fremont,Bush / Kerry / Others,12313 / 5933 / 280,66.5% / 32.0% / 1.5%,Republican / Democratic / Others
180,Colorado - Garfield,Bush / Kerry / Others,11123 / 9228 / 296,53.9% / 44.7% / 1.4%,Republican / Democratic / Others
181,Colorado - Gilpin,Kerry / Bush / Others,1807 / 1329 / 60,56.5% / 41.6% / 1.9%,Democratic / Republican / Others
182,Colorado - Grand,Bush / Kerry / Others,4260 / 3243 / 106,56.0% / 42.6% / 1.4%,Republican / Democratic / Others
183,Colorado - Gunnison,Kerry / Bush / Others,4782 / 3479 / 159,56.8% / 41.3% / 1.9%,Democratic / Republican / Others
184,Colorado - Hinsdale,Bush / Kerry / Others,355 / 236 / 11,59.0% / 39.2% / 1.8%,Republican / Democratic / Others
185,Colorado - Huerfano,Bush / Kerry / Others,1700 / 1663 / 39,50.0% / 48.9% / 1.1%,Republican / Democratic / Others
186,Colorado - Jackson,Bush / Kerry / Others,710 / 210 / 14,76.0% / 22.5% / 1.5%,Republican / Democratic / Others
187,Colorado - Jefferson,Bush / Kerry / Others,140644 / 126558 / 4366,51.8% / 46.6% / 1.6%,Republican / Democratic / Others
188,Colorado - Kiowa,Bush / Kerry / Others,712 / 172 / 8,79.8% / 19.3% / 0.9%,Republican / Democratic / Others
189,Colorado - Kit Carson,Bush / Kerry / Others,2721 / 729 / 52,77.7% / 20.8% / 1.5%,Republican / Democratic / Others
190,Colorado - La Plata,Kerry / Bush / Others,13409 / 11704 / 400,52.6% / 45.9% / 1.6%,Democratic / Republican / Others
191,Colorado - Lake,Kerry / Bush / Others,1623 / 1261 / 65,55.0% / 42.8% / 2.2%,Democratic / Republican / Others
192,Colorado - Larimer,Bush / Kerry / Others,75884 / 68266 / 2286,51.8% / 46.6% / 1.6%,Republican / Democratic / Others
193,Colorado - Las Animas,Kerry / Bush / Others,3300 / 3196 / 96,50.1% / 48.5% / 1.5%,Democratic / Republican / Others
194,Colorado - Lincoln,Bush / Kerry / Others,1819 / 503 / 15,77.8% / 21.5% / 0.6%,Republican / Democratic / Others
195,Colorado - Logan,Bush / Kerry / Others,6168 / 2491 / 107,70.4% / 28.4% / 1.2%,Republican / Democratic / Others
196,Colorado - Mesa,Bush / Kerry / Others,41539 / 19564 / 782,67.1% / 31.6% / 1.3%,Republican / Democratic / Others
197,Colorado - Mineral,Bush / Kerry / Others,383 / 227 / 9,61.9% / 36.7% / 1.5%,Republican / Democratic / Others
198,Colorado - Moffat,Bush / Kerry / Others,4247 / 1355 / 123,74.2% / 23.7% / 2.1%,Republican / Democratic / Others
199,Colorado - Montezuma,Bush / Kerry / Others,6988 / 3867 / 160,63.4% / 35.1% / 1.5%,Republican / Democratic / Others
200,Colorado - Montrose,Bush / Kerry / Others,11218 / 4776 / 225,69.2% / 29.4% / 1.4%,Republican / Democratic / Others
201,Colorado - Morgan,Bush / Kerry / Others,6787 / 3039 / 110,68.3% / 30.6% / 1.1%,Republican / Democratic / Others
202,Colorado - Otero,Bush / Kerry / Others,4947 / 3164 / 69,60.5% / 38.7% / 0.8%,Republican / Democratic / Others
203,Colorado - Ouray,Bush / Kerry / Others,1402 / 1278 / 41,51.5% / 47.0% / 1.5%,Republican / Democratic / Others
204,Colorado - Park,Bush / Kerry / Others,4781 / 3445 / 131,57.2% / 41.2% / 1.6%,Republican / Democratic / Others
205,Colorado - Phillips,Bush / Kerry / Others,1717 / 582 / 26,73.8% / 25.0% / 1.1%,Republican / Democratic / Others
206,Colorado - Pitkin,Kerry / Bush / Others,6335 / 2784 / 137,68.4% / 30.1% / 1.5%,Democratic / Republican / Others
207,Colorado - Prowers,Bush / Kerry / Others,3392 / 1308 / 45,71.5% / 27.6% / 0.9%,Republican / Democratic / Others
208,Colorado - Pueblo,Kerry / Bush / Others,35369 / 31117 / 701,52.6% / 46.3% / 1.0%,Democratic / Republican / Others
209,Colorado - Rio Blanco,Bush / Kerry / Others,2403 / 566 / 34,80.0% / 18.8% / 1.1%,Republican / Democratic / Others
210,Colorado - Rio Grande,Bush / Kerry / Others,3448 / 2006 / 72,62.4% / 36.3% / 1.3%,Republican / Democratic / Others
211,Colorado - Routt,Kerry / Bush / Others,6392 / 5199 / 171,54.3% / 44.2% / 1.5%,Democratic / Republican / Others
